Image Name,Valence,Arousal,ChatGPT Description,Likert_Valence,Likert_Arousal
A001,2.553,74.995,The image shows a dead fox lying on a newspaper on a pebbly surface. The newspaper is visible headlines refer to various news topics including an interview insight titled Mother courage. The general scene might be indicative of someone documenting a wildlife incident.,Negative,Stimulated
A002,45.698,56.948,This image shows a close-up view of what appears to be a veterinary examination of a canine. A person wearing blue gloves is holding open the dog is mouth possibly to check the condition of its teeth and gums. The dog has brown fur and is being held securely during the examination. The focus is primarily on the dog is open mouth and part of the person is face also wearing a blue uniform is visible in the background.,Neutral,Stimulated
A004,36.197,55.567,This image shows a white-furred animal likely an albino creature next to a black bird possibly a crow or raven which appears to be dead. There’s also a sizable rock positioned between them on the ground which is covered with small pebbles or gravel. The setting suggests an outdoor environment with natural ground cover. The contrast between the white creature and the dark bird is quite striking.,Negative,Stimulated
A005,43.439,48.905,In the image there is a woman wearing a dark uniform with the words LOUISIANA SPCA on her back. She appears to be engaged in an animal rescue operation as she is holding a black dog. The setting suggests an outdoor area with wooden structures and fencing and there are various objects such as boxes and wire visible in the background. This setting along with her uniform indicates she may be rescuing animals in distress or from an area impacted by a natural disaster or other emergency.,Neutral,Stimulated
A006,27.544,67.897,This image shows a close-up of a seal pup with distinctive mottled grey and black fur resting on what appears to be a plastic and metal crate or slatted surface. The seal has large expressive eyes and a patterned coat suggesting it might be a young grey seal or a similar species. Its whiskers and the detailing around the face are clearly visible showing its youthful characteristics and curious gaze.,Negative,Stimulated
A007,9.945,80.94,The image shows a seal lying down looking directly at the camera. The seal has visible injuries or blood marks on its head and body suggesting it might have been rescued or is in rehabilitation. The setting appears to be indoors likely in a facility equipped for the care of marine animals.,Negative,Stimulated
A008,13.941,61.118,This image shows a person in a cold snowy environment working on a large wooden sled near what appears to be a carcass potentially of a seal or other large animal that has been prepared for transportation or use. The scene likely relates to traditional hunting practices in polar regions. The snow-covered landscape and the function of the sled are indicative of Arctic or Antarctic settings where such activities are a part of the local subsistence lifestyle.,Negative,Stimulated
A009,12.554,68.251,The image depicts a person in full camouflage clothing including a face mask and gloves holding a shotgun in the outdoors. They are kneeling beside a turkey with a fanned out tail suggesting that this is a hunting scenario. The setting appears to be a field or a lightly wooded area.,Negative,Stimulated
A010,20.095,59.918,This image includes a collection of items related to hunting. Featured prominently are several pheasant birds which have been hunted and laid on the ground. There is a hunting shotgun with a wooden stock resting across the pheasants. Also visible are a hunter is orange cap and a beige vest with a shoulder pad likely designed to cushion the recoil of the shotgun. The background is a bed of straw or dry grass which provides a natural setting typical for pheasant hunting.,Negative,Stimulated
A011,15.314,65.202,The image shows a very young bird possibly a newborn chick. It is featherless and appears to be asleep or resting on a solid surface. The bird is skin is wrinkly and pinkish-purple with some light fuzz typical of a hatchling that hasn't developed its juvenile feathers yet. The surroundings are minimally detailed providing a neutral background that highlights the delicate features of the chick. The presence of small debris near the bird suggests it might be outdoors or in a semi-natural setting.,Negative,Stimulated
