Image-Name,Human-Valence3,Human-Arousal3,Zero-Shot-Average-Valence-For-Image,Zero-Shot-Average-Arousal-For-Image,Zero-Shot-Average-Valence-For-Text,Zero-Shot-Average-Arousal-For-Text,Few-Shot-Average-Valence-For-Image,Few-Shot-Average-Arousal-For-Image,Few-Shot-Average-Valence-For-Text,Few-Shot-Average-Arousal-For-Text
A001,Negative,Stimulated,Negative,Calm,Negative,Neutral,Negative,Stimulated,Negative,Neutral
A002,Neutral,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Neutral
A004,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Negative,Neutral
A005,Neutral,Stimulated,Negative,Stimulated,Positive,Stimulated,Negative,Stimulated,Positive,Stimulated
A006,Negative,Stimulated,Neutral,Calm,Positive,Calm,Neutral,Calm,Positive,Neutral
A007,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A008,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A009,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A010,Negative,Stimulated,Negative,Calm,Negative,Stimulated,Negative,Neutral,Negative,Stimulated
A011,Negative,Stimulated,Negative,Calm,Neutral,Calm,Negative,Calm,Neutral,Calm
A013,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A014,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A015,Negative,Stimulated,Negative,Neutral,Neutral,Neutral,Negative,Stimulated,Negative,Stimulated
A016,Negative,Stimulated,Negative,Calm,Negative,Neutral,Negative,Stimulated,Negative,Stimulated
A017,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Stimulated
A018,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A019,Negative,Neutral,Negative,Neutral,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A020,Neutral,Stimulated,Neutral,Calm,Positive,Calm,Negative,Calm,Positive,Calm
A021,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Negative,Neutral,Negative,Stimulated
A022,Negative,Stimulated,Negative,Calm,Negative,Stimulated,Negative,Stimulated,Negative,Neutral
A023,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Neutral
A024,Neutral,Stimulated,Negative,Stimulated,Positive,Neutral,Neutral,Neutral,Neutral,Stimulated
A025,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A026,Negative,Stimulated,Negative,Calm,Negative,Stimulated,Negative,Stimulated,Negative,Neutral
A027,Negative,Stimulated,Negative,Calm,Negative,Calm,Negative,Calm,Negative,Calm
A028,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A029,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Negative,Neutral
A030,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A031,Neutral,Neutral,Negative,Neutral,Neutral,Calm,Negative,Neutral,Negative,Neutral
A032,Negative,Stimulated,Positive,Stimulated,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
A033,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A034,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A035,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A036,Negative,Stimulated,Negative,Calm,Negative,Neutral,Negative,Stimulated,Negative,Neutral
A037,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Neutral
A038,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Negative,Neutral,Negative,Stimulated
A039,Neutral,Stimulated,Negative,Calm,Neutral,Calm,Negative,Neutral,Neutral,Neutral
A040,Negative,Stimulated,Negative,Calm,Negative,Neutral,Negative,Stimulated,Negative,Neutral
A041,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A042,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Calm
A043,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
A044,Negative,Stimulated,Negative,Calm,Negative,Neutral,Neutral,Calm,Negative,Neutral
A045,Negative,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
A047,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Negative,Neutral
A048,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral,Negative,Stimulated,Neutral,Neutral
A049,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Neutral,Neutral
A050,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral,Negative,Stimulated,Neutral,Neutral
A051,Negative,Stimulated,Negative,Calm,Negative,Neutral,Negative,Neutral,Negative,Neutral
A052,Negative,Stimulated,Negative,Calm,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A053,Neutral,Neutral,Neutral,Calm,Negative,Neutral,Neutral,Calm,Neutral,Calm
A054,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated
A055,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A056,Negative,Stimulated,Negative,Neutral,Negative,Neutral,Negative,Neutral,Negative,Neutral
A057,Negative,Stimulated,Negative,Stimulated,Positive,Neutral,Negative,Stimulated,Positive,Neutral
A058,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral,Negative,Stimulated,Neutral,Neutral
A059,Neutral,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
A060,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
A061,Negative,Neutral,Negative,Stimulated,Negative,Neutral,Negative,Stimulated,Negative,Stimulated
A062,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
A063,Negative,Stimulated,Negative,Calm,Neutral,Calm,Neutral,Calm,Positive,Calm
A064,Negative,Stimulated,Negative,Calm,Neutral,Calm,Negative,Calm,Neutral,Calm
