Image-Name,Zero-Shot-Average-Valence-For-Image,Zero-Shot-Average-Arousal-For-Image,Zero-Shot-Average-Valence-For-Text,Zero-Shot-Average-Arousal-For-Text,Few-Shot-Average-Valence-For-Image,Few-Shot-Average-Arousal-For-Image,Few-Shot-Average-Valence-For-Text,Few-Shot-Average-Arousal-For-Text
A001,10.5,40,22,53,15.479,65.005,11.518,54.539
A002,30.5,63.5,43,47,29.3,63.14,60.546,40.108
A004,27.5,61,33,48,23.195,55.563,35.891,52.033
A005,32.5,62,70,60,31.58,58.64,79.677,64.004
A006,43.65,56.37,64,40,43.64,51.1,79.326,35.921
A007,19.5,68,31,60,24.087,65.553,38.552,55.452
A008,22.2,66,37,51.5,29.889,65.285,38.387,53.699
A009,28.5,61,36,60,34.152,55.803,36.765,60.236
A010,32,42,31,59,30.92,57.057,37.352,52.169
A011,25,31.5,66,30,25.5,59.125,64.417,25.892
A013,10.5,71.5,27,60,14.835,69.768,36.855,61.438
A014,33,60.5,34,60,27.49,63.053,35.454,62.812
A015,31.5,44,31,60,35.4,46.2,34.817,58.847
A016,27,48.5,15,52,29.581,62.2,8.318,67.546
A017,28.5,61,28,62,26.446,53.982,26.473,62.88
A018,16.7,58.5,14,61,22.43,60.14,9.151,70.653
A019,33,58,34,57,37.32,49.73,27.594,56.273
A020,34,24,77,30,39.9,41,85.866,29.417
A021,30,42.5,30,60,33.961,54.775,24.892,62.428
A022,30,40,33,58,39.66,47.02,35.263,61.772
A023,15,63.5,31,60,22.1,61,35.675,60.077
A024,37,52,40,60,41.4,57,51.825,56.793
A025,12.5,71,28,59,20.247,68.916,28.619,51.365
A026,22.2,61,34,61,18.808,62.753,34.672,61.634
A027,18,48,22,48,16.272,56.333,20.216,52.856
A028,30,61.5,34,59,40.1,55.7,36.147,59.648
A029,23,61,24,60,24.253,60.626,33.902,57.557
A030,18,68,31,61,21.986,66.716,29.32,64.398
A031,35,42,34,48,42.284,45.231,40.946,45.508
A032,63.5,46,63,51,58,42.39,64.484,44.721
A033,20,61.5,31,59,23.777,59.233,24.369,53.325
A034,30,61.5,27,60,32.293,55.618,31.903,55.624
A035,26.5,58,32,60,30.94,54.568,33.805,60.671
A036,27.5,50.5,29,48,23.979,58.031,31.266,55.593
A037,30.5,59,34,62,34.724,52.313,41.866,62.702
A038,28,53.5,34,60,33.3,52.25,26.571,52.693
A039,32.5,60.5,39,47,31.923,61.157,41.201,49.311
A040,18.5,59.5,34,46,31.605,59.395,34.866,49.856
A041,9,76,14,74,13.047,73.392,20.413,67.376
A042,11.5,68,41.6,32,19.673,69.941,45.589,35.797
A043,42.7,55,44,36,43.1,52.75,51.816,41.12
A044,33.5,45,30,40,32.443,49.438,31.905,49.152
A045,47.7,31.9,64,38,53.24,25.27,61.713,36.953
A047,25.5,43,31,40,23.253,60.126,34.405,48.219
A048,21.5,63,43,55,23.389,60.916,58.989,35.134
A049,23.1,58.5,35,44,32.38,60.46,33.642,49.814
A050,33.8,63.5,62,45,36.419,65.466,62.397,43.174
A051,29.7,43.5,21,56,33.28,52.36,23.431,51.258
A052,27.5,51,36,58,34.37,60.22,41.319,59.23
A053,47,32,35,38,52,32,41.354,39.592
A054,28,63,41,60,31.035,64.799,45.394,61.417
A055,13.05,69.5,11,76,20.872,63.032,4.956,76.592
A056,28.621,47.178,33,43,23.088,55.744,36.089,51.085
A057,23,63.5,69,40,23.652,65.949,66.034,43.061
A058,27.5,67.5,46,49,31.85,59.647,44.752,53.93
A059,42,23.5,45,47,44,30,62.938,41.173
A060,42.5,30,44,30,43,32,62.794,29.519
A061,26.5,56,29,42,27.331,56.162,32.899,55.56
A062,20.2,60.5,25,60,27.543,61.432,31.54,55.504
A063,32.5,39.5,69.4,36,36,42.4,71.013,37.987
A064,33,38.5,65,37,28.745,48.907,65.703,36.927
A067,27.5,58.5,33,58,32.995,55.502,35.035,55.929
A068,13.5,67.5,30,62,13.565,62.18,34.103,63.831
A069,10,72,17,65,14.848,63.843,15.682,62.618
A070,20,60.5,31,60,28.233,62.167,30.154,54.868
A071,10.5,55,13,60,14.671,61.279,17.386,61.306
A072,12,38,19,40,15.046,64.098,27.296,35.098
A073,26.5,60.5,24,59,29.748,54.726,30.054,54.689
A074,36,59,34,51,32.419,56.256,44.449,47.396
A075,8.5,74.5,11,78,8.302,81.763,12.043,83.417
A076,14,67,21,54,27.355,63.782,17.199,54.925
A077,36.7,24,43,29,44.508,24.592,52.698,30.998
A078,38.3,38.4,39,28,40.065,47.981,43.464,33.487
A079,11,69,15,62,18.8,67.27,22.665,64.363
A080,62.3,37.4,66,38,62.31,25.915,66.992,34.677
A081,44.5,33.5,71.6,35,42.78,39.42,72.469,30.483
A082,21,44.5,35,41,28.392,55.632,36.697,54.662
A083,8.6,81.3,14,74.5,11.7,76.28,11.281,73.094
A084,16.5,66.5,19,54,19.48,62.709,36.297,59.096
A085,20.75,48.8,23,49,20.335,58.119,23.049,50.831
A086,10,72,16,62,19.629,66.729,16.594,65.642
A087,20.5,50,19,61,29,57,25.929,62.245
A088,40.8,35,20,52,35.156,56.483,24.7,56.06
A089,17,66.5,21,60,21.042,66.082,25.092,60.105
A090,33.457,52.823,34,42,44.286,48.154,38.084,52.247
A091,25.8,62,36,57,34.407,64.461,38.644,53.207
A092,22.5,56.5,27,41,29.715,56.819,28.035,50.13
A093,18.5,59.5,17,62,22.557,60.335,16.117,57.77
A094,48.7,40.3,52,64,57.32,35.5,55.243,59.65
A095,10,71,17,73,24.61,65.798,15.968,72.303
A097,11.2,69.5,19,62,23.319,63.985,17.272,66.129
A098,21.5,63,32,60,25.514,62.773,34.26,61.496
A099,13.5,67.5,16,63,19.247,61.622,17.443,65.231
A100,24.25,61.5,28,62,24.602,61.207,26.072,65.955
A101,15,67.5,19,59,22.609,60.663,20.459,60.143
A102,38.6,56,68,40,36.8,61.66,71.007,39.471
A103,42.5,28.5,65,30,36,53,62.512,28.515
A104,11.5,68.5,17,64,10.9,73,9.718,70.769
A105,34.3,42.5,38,34,34.62,54.74,43.971,35.904
A106,33.5,41,33,44,37.16,54.68,35.295,52.861
A107,29,57.5,26,61,26.6,61.66,33.938,60.981
A108,24,60.5,33,40,26.099,60.365,35.53,49.849
A109,29,58,28,43,33.874,57.401,32.102,50.633
A110,19.5,56.5,18,62,26.08,59.865,14.785,62.68
A111,27.5,53.5,24,51,29.395,54.732,35.888,57.469
A112,49.5,30,45,30,51.8,25.6,54.964,30.998
A113,25.5,59.5,33,40,37.875,50.066,38.777,50.898
A114,23,59,34,40,23.907,55.4,35.274,50.785
A115,24.75,68,33,66,27.291,67.683,39.156,61.351
A116,14,61.5,15,64,18.361,60.207,17.137,61.767
A117,16.5,68.5,13,74,24.919,62.068,14.779,77.726
A118,22.5,62,33,41,23.9,57.646,37.623,44.059
A119,20,42.5,21,59,26.176,57.063,17.976,57.636
A120,11.5,59,21,59,16.925,59.256,28.45,52.585
A121,22.5,29,44,30,25.831,54.423,51.917,35.224
A122,33.5,58.5,35,60,35.156,61.385,26.633,66.737
A123,31,65.5,44,42,39.397,59.688,47.663,41.996
A124,69,35.5,42,35,71.655,21.842,43.579,39.049
A125,19.5,66,25,61,23.28,63.06,32.775,63.12
A127,13.5,68,29,59,16.472,67.28,26.898,55.911
A128,18.5,63,35,43,25.98,57.95,39.699,46.762
A129,32.5,61,43,36,33.2,60.124,44.928,47.353
A130,57,38.5,67,40,51,41,70.287,36.088
A131,65,30,63,38,67,22,64.283,29.471
H001,73.434,27.357,86,30,84.8,24,87.761,20.985
H002,29.5,67.5,75,40,32.238,64.428,86.883,37.6
H003,24.5,58,67,41,32.917,55.107,72,44
H005,32.5,43,72,31,23.286,59.136,68.933,23.61
H006,42.5,33.8,53.8,41,48.8,30,54.271,38.989
H007,25.5,57.1,54,47,29.685,50.245,54.903,44.8
H008,43,31.5,65,38,51.2,30.04,67.121,37.256
H009,45.5,34.5,70,40,45.913,31.378,67.588,31.713
H010,55.95,40.5,55,38,57.5,36,55.592,33.387
H011,34.5,28.5,33,41,41.219,34.813,36.166,45.308
H012,52.6,39.5,49,41,56.26,42.02,50.63,38.478
H013,67.425,64.03,70.4,63,68.607,61.26,68.354,61.783
H014,33.1,41.5,35,60,35.156,46.804,35.111,56.786
H015,29.8,58.5,40,49,25.275,57.925,49.875,45.382
H016,17,63,19,69,26.682,63.437,20.733,65.222
H017,38,33.5,64,40,36.262,44.965,65.886,35.886
H018,43.9,35,65,40,53,36,67.033,40.973
H019,16.5,75.5,20,79,17.4,74.66,29.507,71.472
H020,69.196,55.134,74.4,41,69.98,41.704,83.249,45.274
H021,36,48,35,41,42.542,45.255,43.588,54.046
H022,3.5,86.5,10,77,7,81,10.857,83.852
H023,60.55,41.8,66.8,45,65.6,39.78,69.077,44.007
H024,66.3,42.2,70.2,41.8,71.6,27,69.226,49.003
H025,43.5,35,66.6,40,42,30,65.835,35.111
H026,17,70,26,64,21.708,65.414,26.593,61.254
H027,64.723,38.599,79,40,68.864,30.818,84.19,35.154
H028,31.9,57.1,37,47,39.375,55.05,41.755,53.818
H029,52.5,48,74,56,55.592,39.738,73.807,39.67
H030,22.4,55.8,35,59,28.671,59.851,40.169,55.342
H031,33,30.5,33,40,26.096,44.381,32.727,42.957
H032,32,66.5,24,65,30.352,59.764,32.002,66.396
